id,measured,producerCount,importBytes,uncompressed,shrinkled,binBytes
op13_VV,"[{\"op\":13,\"mode\":\"VV\"}]",3,0,15000,5100,1700
op14_-,"[{\"op\":14,\"mode\":\"-\"}]",1,0,13584,4532,328
op15_cc,"[{\"op\":15,\"mode\":\"cc\"}]",1,0,13936,4720,752
op15_Vc,"[{\"op\":15,\"mode\":\"Vc\"}]",2,0,14072,4784,848
op15_cV,"[{\"op\":15,\"mode\":\"cV\"}]",2,0,14060,4772,856
op15_VV,"[{\"op\":15,\"mode\":\"VV\"}]",3,0,14164,4808,944
op16_c,"[{\"op\":16,\"mode\":\"c\"}]",1,0,13780,4648,512
op16_V,"[{\"op\":16,\"mode\":\"V\"}]",2,0,13924,4708,904
op19_c,"[{\"op\":19,\"mode\":\"c\"}]",1,0,13956,4644,596
op19_V,"[{\"op\":19,\"mode\":\"V\"}]",2,0,14084,4696,692
op21_c,"[{\"op\":21,\"mode\":\"c\"}]",1,0,13836,4660,656
op21_V,"[{\"op\":21,\"mode\":\"V\"}]",2,0,13964,4708,756
scaffold,"[{\"op\":1,\"mode\":\"c\"},{\"op\":2,\"mode\":\"cc\"},{\"op\":3,\"mode\":\"cc\"},{\"op\":4,\"mode\":\"cc\"},{\"op\":5,\"mode\":\"ccc\"},{\"op\":6,\"mode\":\"c\"},{\"op\":7,\"mode\":\"cc\"},{\"op\":8,\"mode\":\"ccc\"},{\"op\":9,\"mode\":\"c\"},{\"op\":10,\"mode\":\"c\"},{\"op\":11,\"mode\":\"cc\"},{\"op\":12,\"mode\":\"ccc\"},{\"op\":13,\"mode\":\"cc\"},{\"op\":14,\"mode\":\"-\"},{\"op\":15,\"mode\":\"cc\"},{\"op\":16,\"mode\":\"c\"},{\"op\":19,\"mode\":\"c\"},{\"op\":21,\"mode\":\"c\"}]",11,0,18244,6216,4992
twophase_op2,"[{\"op\":2,\"mode\":\"cc\"},{\"op\":2,\"mode\":\"cc\"}]",0,0,13616,4552,352
twophase_op7,"[{\"op\":7,\"mode\":\"cc\"},{\"op\":7,\"mode\":\"cc\"}]",0,0,13480,4512,272
